i,Ht,chi
10,2.0,0.7493620123714206
11,2.0,0.4175571352243423
12,2.0,0.3450162783265113
13,2.0,0.3615335542708635
14,2.0,0.31275367550551886
15,2.0,0.29609651397913694
16,2.0,0.11363068968057631
17,2.0,0.2491036662831902
18,2.0,0.22388428729027507
19,2.0,0.25467038573697204
20,6.0,0.4632775261998176
21,6.0,0.49483354762196535
22,6.0,0.4716089442372321
23,6.0,0.41457984782755364
24,6.0,0.45271374471485604
25,6.0,0.28750866279006
26,6.0,0.2859534434974193
27,6.0,0.4454575376585125
28,6.0,0.38061590492725367
29,6.0,0.36665387637913216
0,6.0,0.42126461863517756
1,6.0,0.42989045195281494
2,6.0,0.35640940815210337
3,6.0,0.40786373615264887
4,6.0,0.27503747493028635
5,6.0,0.25701622106134886
6,6.0,0.5334641281515359
7,6.0,0.2867875941155943
8,6.0,0.2907761167734861
9,6.0,0.2799779567867517
10,2.0,0.776126542710699
11,2.0,0.7219611444161271
12,2.0,0.027159776538610438
13,2.0,-0.17180584371089935
14,2.0,-0.20716981217265126
15,2.0,-0.2035262696444988
16,2.0,-0.2288127169013023
17,2.0,-0.19361584261059758
18,2.0,-0.21580881252884862
19,2.0,-0.19794353097677228
20,6.0,0.6221411116421222
21,6.0,0.5078627634793519
22,6.0,0.4231393160298466
23,6.0,0.3883155223447829
24,6.0,0.3572074766270816
25,6.0,0.32043767813593144
26,6.0,0.377031082753092
27,6.0,0.3316269439965253
28,6.0,0.41076034028083075
29,6.0,0.33741416409611696
0,6.0,0.636518470942974
1,6.0,0.5423327805474399
