Ht,chi,gamma,direction
0.6,-0.20475845783948896,1e-07,up
0.8,0.18975755572319025,1e-07,up
1.0,-0.2249142676591873,1e-07,up
1.2,-0.18930065631866452,1e-07,up
1.4,0.19835706055164334,1e-07,up
1.6,-0.22063690423965454,1e-07,up
1.8,0.5120175629854201,1e-07,up
2.0,0.20940344035625458,1e-07,up
2.2,0.20562645047903058,1e-07,up
2.4,0.47428895719349384,1e-07,up
2.6,0.3821520805358886,1e-07,up
2.8,0.6550072683021426,1e-07,up
3.0,-0.3637646827846765,1e-07,up
3.2,0.671311218291521,1e-07,up
3.4,0.5465918136760592,1e-07,up
3.6,0.35808639414608473,1e-07,up
3.8,0.3404313679784536,1e-07,up
4.0,0.57615352794528,1e-07,up
4.2,0.09393325075507161,1e-07,up
4.4,0.050645343959331506,1e-07,up
4.6,0.0037961080670356707,1e-07,up
4.8,0.05356805026531218,1e-07,up
5.0,0.34600231237709517,1e-07,up
5.2,0.19839636236429212,1e-07,up
5.4,0.02383743226528167,1e-07,up
5.6,0.0058267563581466675,1e-07,up
5.8,0.060156032443046556,1e-07,up
6.0,0.19190623052418226,1e-07,up
6.2,0.1785321421921253,1e-07,up
6.4,0.3134920541197061,1e-07,up
6.6,0.22767279297113416,1e-07,up
6.8,0.08252140134572981,1e-07,up
7.0,0.032741691917181015,1e-07,up
7.2,0.19071076810359952,1e-07,up
7.4,0.21648719976656133,1e-07,up
7.6,0.20820691436529157,1e-07,up
7.8,0.20779964420944447,1e-07,up
8.0,0.3435000721365213,1e-07,up
8.0,0.16498878598213193,1e-07,down
7.8,0.18502557277679443,1e-07,down
7.6,0.5925779901444911,1e-07,down
7.4,0.37655691057443613,1e-07,down
7.2,0.23711557313799855,1e-07,down
7.0,0.40184342116117466,1e-07,down
6.8,0.400422029197216,1e-07,down
6.6,0.4051226680167019,1e-07,down
6.4,0.3165053270058706,1e-07,down
6.2,0.1662843860685825,1e-07,down
6.0,0.08224225044250486,1e-07,down
5.8,0.29484246671199793,1e-07,down
5.6,0.31737880036234856,1e-07,down
5.4,0.21525954082608217,1e-07,down
5.2,0.05756154656410216,1e-07,down
5.0,0.20900988206267357,1e-07,down
4.8,0.37093003839254374,1e-07,down
4.6,0.4104252979159354,1e-07,down
4.4,0.016881257295608517,1e-07,down
4.2,0.36534604430198664,1e-07,down
4.0,-0.00295300781726837,1e-07,down
3.8,0.32161846756935114,1e-07,down
3.6,-0.00899739563465118,1e-07,down
3.4,0.014040857553482054,1e-07,down
3.2,0.008730962872505188,1e-07,down
3.0,0.31379741946147977,1e-07,down
2.8,-0.011197075247764586,1e-07,down
2.6,0.34700146410614247,1e-07,down
2.4,-0.03324486501514911,1e-07,down
2.2,0.3034846801310777,1e-07,down
2.0,0.9878844302147625,1e-07,down
1.8,1.5140365436673162,1e-07,down
1.6,0.07250881940126418,1e-07,down
1.4,0.008354533463716505,1e-07,down
1.2,0.03146015107631683,1e-07,down
1.0,0.0051615461707115165,1e-07,down
0.8,0.3089087419211864,1e-07,down
0.6,0.707166776061058,1e-07,down
0.4,-0.8222393840551376,1e-07,down
0.2,0.014103062450885757,1e-07,down
-0.0,0.3439793102443217,1e-07,down
-0.0,0.3439793102443217,1e-07,up
0.2,0.5404369756579397,1e-07,up
0.4,0.9739418365061281,1e-07,up
0.6,-0.6004872918128966,1e-07,up
0.8,0.2840528860688209,1e-07,up
1.0,0.6283586397767067,1e-07,up
1.2,1.5151841118931766,1e-07,up
1.4,1.7280735094100235,1e-07,up
1.6,-0.34845188260078425,1e-07,up
1.8,0.9489229917526244,1e-07,up
2.0,1.1882403269410131,1e-07,up
2.2,0.9609073847532271,1e-07,up
2.4,1.0907937362790106,1e-07,up
2.6,1.5819863779470322,1e-07,up
2.8,1.7057750243693586,1e-07,up
3.0,0.2552894372493028,1e-07,up
3.2,0.4203864526643883,1e-07,up
3.4,0.5308222025632858,1e-07,up
3.6,0.962642431259155,1e-07,up
3.8,-0.5324400216341019,1e-07,up
4.0,-0.3681282699108123,1e-07,up
4.2,-0.35949862748384476,1e-07,up
4.4,0.8423979729413985,1e-07,up
4.6,1.0372474715113638,1e-07,up
4.8,-0.3242412004619837,1e-07,up
5.0,-0.48157735168933863,1e-07,up
5.2,-0.21625537611544132,1e-07,up
5.4,0.5609656227752565,1e-07,up
5.6,-0.25279181730002165,1e-07,up
5.8,0.06761350482702255,1e-07,up
6.0,0.12647648900747296,1e-07,up
6.2,0.6173870489001273,1e-07,up
6.4,0.2400286123156547,1e-07,up
6.6,0.16001777350902555,1e-07,up
6.8,-0.04856050014495848,1e-07,up
7.0,0.07282181084156035,1e-07,up
7.2,0.7915326696820556,1e-07,up
7.4,0.07213999330997466,1e-07,up
7.6,0.1908514872193336,1e-07,up
7.8,0.17694927006959912,1e-07,up
8.0,0.5074343010783194,1e-07,up
8.0,0.19840356707572934,1e-07,down
7.8,0.31258796900510777,1e-07,down
7.6,0.44635745882987965,1e-07,down
7.4,0.4348640292882918,1e-07,down
7.2,0.17152068018913263,1e-07,down
7.0,0.23625646531581876,1e-07,down
6.8,0.16869662702083585,1e-07,down
6.6,0.25597468018531794,1e-07,down
6.4,0.00625109672546387,1e-07,down
6.2,0.303151786327362,1e-07,down
6.0,0.01905728876590728,1e-07,down
5.8,0.1523318290710449,1e-07,down
5.6,0.15858885645866388,1e-07,down
5.4,0.05638886988162993,1e-07,down
5.2,0.07927234470844267,1e-07,down
5.0,0.05189830064773558,1e-07,down
4.8,-0.02703508734703063,1e-07,down
4.6,0.0706648826599121,1e-07,down
4.4,-0.009590446949005122,1e-07,down
4.2,0.04105263948440551,1e-07,down
4.0,0.010797798633575436,1e-07,down
3.8,0.08409368991851805,1e-07,down
3.6,0.02917525172233581,1e-07,down
3.4,0.07429680228233336,1e-07,down
3.2,0.05603080987930297,1e-07,down
3.0,0.02810403704643249,1e-07,down
2.8,0.04738163948059081,1e-07,down
2.6,0.0045996010303497314,1e-07,down
2.4,-0.014178454875946043,1e-07,down
2.2,-0.007955312728881834,1e-07,down
2.0,0.046556979417800896,1e-07,down
